name,dimension,opt_tour_length,c_tour_length,best_tour_length,best_sa_tour_length,c_apx_ratio,best_apx_ratio,best_sa_apx_ratio,best_tour_k,best_sa_tour_k,elapsed_time
pr107,107,44303,47906,47906,46293,1.0813263210166355,1.0813263210166355,1.0449179513802678,1,1,22.009802103042603
gr120,120,6942,8116,8116,7490,1.1691155286660904,1.1691155286660904,1.0789397868049553,1,1,17.324395656585693
pr124,124,59030,64890,64890,64851,1.0992715568355074,1.0992715568355074,1.0986108758258513,1,1,19.593785047531128
bier127,127,118282,132245,132245,124797,1.1180483928239293,1.1180483928239293,1.055080231987961,1,1,27.930625915527344
ch130,130,6110,6762,6762,6684,1.1067103109656302,1.1067103109656302,1.0939443535188216,1,1,19.000584840774536
pr136,136,96772,102861,102861,102861,1.0629210928781052,1.0629210928781052,1.0629210928781052,1,1,20.151551246643066
gr137,137,69853,78173,78173,75169,1.1191072681201952,1.1191072681201952,1.076102672755644,1,1,19.07034921646118
pr144,144,58537,68597,68597,64838,1.171857116012095,1.171857116012095,1.107641320873977,1,1,23.577579975128174
ch150,150,6528,7202,7202,7202,1.1032475490196079,1.1032475490196079,1.1032475490196079,1,1,18.015894412994385
kroB150,150,26130,29669,29669,28865,1.135438193647149,1.135438193647149,1.104668962877918,1,1,19.257291555404663
kroA150,150,26524,30328,30328,30056,1.1434172824611673,1.1434172824611673,1.133162418941336,1,1,15.521251678466797
pr152,152,73682,79317,79317,77100,1.0764772943188297,1.0764772943188297,1.0463885345131783,1,1,27.336388111114502
u159,159,42080,47409,47409,47409,1.1266397338403042,1.1266397338403042,1.1266397338403042,1,1,24.344372272491455
si175,175,21407,21989,21989,21989,1.027187368617742,1.027187368617742,1.027187368617742,1,1,26.580634593963623
rat195,195,2323,2704,2704,2692,1.164012053379251,1.164012053379251,1.1588463194145502,1,1,30.64457893371582
d198,198,15780,17226,17226,17226,1.0916349809885932,1.0916349809885932,1.0916349809885932,1,1,36.204628705978394
kroA200,200,29368,33398,33398,33398,1.137224189594116,1.137224189594116,1.137224189594116,1,1,37.080270290374756
kroB200,200,29437,33280,33280,33280,1.1305499881102015,1.1305499881102015,1.1305499881102015,1,1,35.232280015945435
gr202,202,40160,43671,43671,43671,1.0874252988047808,1.0874252988047808,1.0874252988047808,1,1,38.51760172843933
tsp225,225,3916,4353,4353,4353,1.1115934627170583,1.1115934627170583,1.1115934627170583,1,1,38.53085398674011
ts225,225,126643,133282,133282,133282,1.0524229527095852,1.0524229527095852,1.0524229527095852,1,1,34.42109417915344
